Required Ratio,,Whom they affect to,What is the Constraint,Apply to -,Individuals?,,Inspiration,Applied,Constraint Implementation Stage
,,,,,,,,,
10,Class,Class,"Major Subjects (e.g., Maths, Science, Languages) should be scheduled every day.",All Classes,Selected,,Yes,,
10,Class,Class,"For a specific class, a maximum of 2 minor subjects (e.g., Art, Music, Hobby) can be scheduled in a single day.",All Classes,,,Yes,,
10,Class,Class,"Single Timetable may have a different number of periods per day for different classes (e.g., Class 2 has 6 periods/day, Classes 3-12 have 8 periods/day).",All Classes,,,,Yes,
10,Class,Class,"Games, Library, Art, Hobby, Dance, and Music periods should not be scheduled on the same day for a given class.",All Classes,,,Yes,,
,,,,,,,,,
10,Class,Class (Specific),"Maths for class 4T should be allotted only in periods 6 to 8, as the Maths teacher is unavailable before that.",Period Set for(Cls+Subj),,,Yes,,
10,Class,Class (Specific),"For classes 3 to 5, Astro should be scheduled from Monday to Thursday only (i.e., not on Friday).",Day Set for(Cls Set+Subj),,,Yes,,
,,,,,,,,,
9,Teacher,Teacher,A teacher's workload is normally 6 periods per day or 36 periods per week.,All Teachers,,,Yes,Yes,teacher_availability
9,Teacher,Teacher,A teacher's maximum workload is 48 periods per week.,All Teachers,,,Yes,Yes,Max_availability_per_week
8,Teacher,Teacher,A teacher should have at least one free period in the first half of the day (Periods 1-4) and one free period in the second half (Periods 5-8).,All Teachers,,,Yes,,
5,Teacher,Teacher,Maximum number of gaps (free periods) allowed per day and per week for a teacher.,All Teachers,,,,,
10,Teacher,Teacher,Class Teachers should be assigned the first period of the day.,All Teachers,,,Yes,,
1,Teacher,Teacher,Maximum number of single gaps (isolated free periods) allowed in a teacher's schedule for selected time slots (e.g. in a Day / Week),All Teachers,,,,,
10,Teacher,Teacher,Maximum and minimum number of days a teacher can work per week. (Availability),All Teachers,,,,,
10,Teacher,Teacher,Maximum and minimum Periods for a teacher per day / Per week. (Workload Balance) ,All Teachers,,,,,
8,Teacher,Teacher,"Maximum hours a teacher can work within a specific Periods Interval each day (e.g., max 2 Periods in the last 4 periods).",All Teachers,,,,,
8,Teacher,Teacher,Maximum number of consecutive teaching periods for a teacher.,All Teachers,,,,,
8,Teacher,Teacher,Maximum number of consecutive periods with a specific Study Format for a teacher.,All Teachers,,,,,
,,,,,,,,,
10,Teacher,Teacher,"A teacher may have specific ""not available"" time slots (e.g., meetings, personal time).",One Teacher,,,,,teacher_unavailability
9,Teacher,Teacher,"A teacher has a pair of mutually exclusive time slots (e.g., cannot teach in period 1 and period 8 on the same/particuler day every week).",One Teacher,,,,,teacher_unavailability
,,,,,,,,,
10,Subject Type,Subject Type,"Practical period of different optional subjects(Run Parallel) varies weekly frequencies: IP (4 periods/week), Physical Education (2 periods/week), Psychology (2 periods/week).",All (for Scheduling Logic),,,Yes,,
10,Subject Type,Subject Type,"Skill subjects : Run Parallel, No of Periods varies weekly frequencies: Banking (3 periods/week), AI (4 periods/week), Taxation (4 periods/week), Mass Media (3 periods/week).",All (for Scheduling Logic),,,Yes,,
,,,,,,,,,
7,Teacher,Teacher,"Minimum and maximum Periods per day for a teacher with a specific Study Format (e.g., Lecture, Lab).",All Teachers,,,,,
8,Teacher,Teacher,"Minimum gap required between two specific, ordered Study Formats for a teacher (e.g., must be a gap after Dance period before a Lecture).",Individual (Any Teacher),,,,,
,,,,,,,,,
9,,Activity,Hobby periods require two consecutive periods for classes 6th to 9th.,All (for Scheduling Logic),,,Yes,,
9,,Activity,Astro periods require two consecutive periods for classes 3rd to 8th.,All (for Scheduling Logic),,,Yes,,
9,,Activity,Robotics periods require two consecutive periods for classes 6th to 8th.,All (for Scheduling Logic),,,Yes,,
9,,Activity,Physics and Chemistry practical periods require two consecutive periods for classes 11th and 12th.,All (for Scheduling Logic),,,Yes,,
9,,Activity,Biology practical periods require two consecutive periods for classes 11th and 12th.,All (for Scheduling Logic),,,Yes,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10,,Activity,A specific subject has a preferred or set of preferred rooms.,Individual (Any Subject),,,,,
10,,Activity,"A specific Study Format (e.g., Lab) has a preferred or set of preferred rooms.",Individual (Any Study Format),,,,,
,,Activity,A specific subject combined with a specific Study Format has a preferred or set of preferred rooms.,Individual (Any Subject + Study Format),,,,,
,,Activity,A specific activity has a preferred or set of preferred rooms.,Individual (Any Activity),,,,,
,,Activity,A set of activities must be scheduled in the same room if they are consecutive.,All (for Scheduling Logic),,,,,
,,Activity,A set of activities can occupy a maximum number of different rooms.,All (for Scheduling Logic),,,,,
,,Activity,An activity has a single preferred starting time.,Individual (Any Activity),,,,,
,,Activity,An activity has a set of preferred starting times.,Individual (Any Activity),,,,,
,,Activity,An activity has a set of preferred time slots.,Individual (Any Activity),,,,,
,,Activity,A set of activities must have a minimum or maximum number of days between them.,All (for Scheduling Logic),,,,,
,,Activity,An activity must be the one that ends the students' school day.,Individual (Any Activity),,,,,
,,Activity,"A set of activities must have the same starting time, day, or hour.",All (for Scheduling Logic),,,,,
