S.No.,Module Name,Screen Title,Tab Name,Category,Main Menu,Sub-Menu,Route Name,View File,Note
1,Accounting,Financial Years,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.financial-year.index,Modules/Accounting/resources/views/financial-year/index.blade.php,Not in RBS — needs menu assignment
2,Accounting,Financial Years,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.financial-year.index,Modules/Accounting/resources/views/financial-year/edit.blade.php,Not in RBS — needs menu assignment
3,Accounting,Financial Years,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.financial-year.index,Modules/Accounting/resources/views/financial-year/create.blade.php,Not in RBS — needs menu assignment
4,Accounting,Financial Years,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.financial-year.index,Modules/Accounting/resources/views/financial-year/show.blade.php,Not in RBS — needs menu assignment
5,Accounting,Ledger Statement,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/statement.blade.php,Not in RBS — needs menu assignment
6,Accounting,Ledger Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/index.blade.php,Not in RBS — needs menu assignment
7,Accounting,Ledger Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/edit.blade.php,Not in RBS — needs menu assignment
8,Accounting,Ledger Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/trash.blade.php,Not in RBS — needs menu assignment
9,Accounting,Ledger Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/create.blade.php,Not in RBS — needs menu assignment
10,Accounting,Ledger Details,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger.index,Modules/Accounting/resources/views/ledger/show.blade.php,Not in RBS — needs menu assignment
11,Accounting,Voucher Types,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/voucher-type/index.blade.php,Not in RBS — needs menu assignment
12,Accounting,Voucher Types,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher-type.index,Modules/Accounting/resources/views/voucher-type/edit.blade.php,Not in RBS — needs menu assignment
13,Accounting,Voucher Types,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher-type.index,Modules/Accounting/resources/views/voucher-type/create.blade.php,Not in RBS — needs menu assignment
14,Accounting,Voucher Types,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher-type.index,Modules/Accounting/resources/views/voucher-type/show.blade.php,Not in RBS — needs menu assignment
15,Accounting,Cost Centers,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/cost-center/index.blade.php,Not in RBS — needs menu assignment
16,Accounting,Cost Centers,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.cost-center.index,Modules/Accounting/resources/views/cost-center/edit.blade.php,Not in RBS — needs menu assignment
17,Accounting,Cost Centers,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.cost-center.index,Modules/Accounting/resources/views/cost-center/create.blade.php,Not in RBS — needs menu assignment
18,Accounting,Cost Centers,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.cost-center.index,Modules/Accounting/resources/views/cost-center/show.blade.php,Not in RBS — needs menu assignment
19,Accounting,Expense Claims,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.expense-claim.index,Modules/Accounting/resources/views/expense-claim/index.blade.php,Not in RBS — needs menu assignment
20,Accounting,Edit Expense Claim,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.expense-claim.index,Modules/Accounting/resources/views/expense-claim/edit.blade.php,Not in RBS — needs menu assignment
21,Accounting,New Expense Claim,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.expense-claim.index,Modules/Accounting/resources/views/expense-claim/create.blade.php,Not in RBS — needs menu assignment
22,Accounting,Expense Claim Details,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.expense-claim.index,Modules/Accounting/resources/views/expense-claim/show.blade.php,Not in RBS — needs menu assignment
23,Accounting,Ledger Mapping Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger-mapping.index,Modules/Accounting/resources/views/ledger-mapping/index.blade.php,Not in RBS — needs menu assignment
24,Accounting,Ledger Mapping Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger-mapping.index,Modules/Accounting/resources/views/ledger-mapping/edit.blade.php,Not in RBS — needs menu assignment
25,Accounting,Ledger Mapping Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger-mapping.index,Modules/Accounting/resources/views/ledger-mapping/create.blade.php,Not in RBS — needs menu assignment
26,Accounting,Ledger Mapping Details,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.ledger-mapping.index,Modules/Accounting/resources/views/ledger-mapping/show.blade.php,Not in RBS — needs menu assignment
27,Accounting,Tax Rates,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/tax-rate/index.blade.php,Not in RBS — needs menu assignment
28,Accounting,Tax Rates,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.tax-rate.index,Modules/Accounting/resources/views/tax-rate/edit.blade.php,Not in RBS — needs menu assignment
29,Accounting,Tax Rates,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.tax-rate.index,Modules/Accounting/resources/views/tax-rate/create.blade.php,Not in RBS — needs menu assignment
30,Accounting,Tax Rates,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.tax-rate.index,Modules/Accounting/resources/views/tax-rate/show.blade.php,Not in RBS — needs menu assignment
31,Accounting,Accounting Dashboard,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/dashboard/index.blade.php,Not in RBS — needs menu assignment
32,Accounting,Voucher Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher.index,Modules/Accounting/resources/views/voucher/index.blade.php,Not in RBS — needs menu assignment
33,Accounting,Voucher Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher.index,Modules/Accounting/resources/views/voucher/edit.blade.php,Not in RBS — needs menu assignment
34,Accounting,Voucher Management,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher.index,Modules/Accounting/resources/views/voucher/create.blade.php,Not in RBS — needs menu assignment
35,Accounting,Voucher Details,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.voucher.index,Modules/Accounting/resources/views/voucher/show.blade.php,Not in RBS — needs menu assignment
36,Accounting,Bank Reconciliation,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.bank-reconciliation.index,Modules/Accounting/resources/views/bank-reconciliation/index.blade.php,Not in RBS — needs menu assignment
37,Accounting,Edit Bank Reconciliation,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.bank-reconciliation.index,Modules/Accounting/resources/views/bank-reconciliation/edit.blade.php,Not in RBS — needs menu assignment
38,Accounting,New Bank Reconciliation,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.bank-reconciliation.index,Modules/Accounting/resources/views/bank-reconciliation/create.blade.php,Not in RBS — needs menu assignment
39,Accounting,Reconciliation Details,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.bank-reconciliation.index,Modules/Accounting/resources/views/bank-reconciliation/show.blade.php,Not in RBS — needs menu assignment
40,Accounting,Balance Sheet,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/balance-sheet.blade.php,Not in RBS — needs menu assignment
41,Accounting,Outstanding Receivables,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/outstanding-receivables.blade.php,Not in RBS — needs menu assignment
42,Accounting,Day Book,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/day-book.blade.php,Not in RBS — needs menu assignment
43,Accounting,Bank Book,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/bank-book.blade.php,Not in RBS — needs menu assignment
44,Accounting,Outstanding Payables,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/outstanding-payables.blade.php,Not in RBS — needs menu assignment
45,Accounting,Budget Variance,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/budget-variance.blade.php,Not in RBS — needs menu assignment
46,Accounting,Ledger Report,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/ledger-report.blade.php,Not in RBS — needs menu assignment
47,Accounting,Profit & Loss,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/profit-and-loss.blade.php,Not in RBS — needs menu assignment
48,Accounting,Cash Book,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/cash-book.blade.php,Not in RBS — needs menu assignment
49,Accounting,GST Summary,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/gst-summary.blade.php,Not in RBS — needs menu assignment
50,Accounting,Trial Balance,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.dashboard,Modules/Accounting/resources/views/report/trial-balance.blade.php,Not in RBS — needs menu assignment
51,Accounting,Fixed Assets,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.fixed-asset.index,Modules/Accounting/resources/views/fixed-asset/index.blade.php,Not in RBS — needs menu assignment
52,Accounting,Edit Fixed Asset,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.fixed-asset.index,Modules/Accounting/resources/views/fixed-asset/edit.blade.php,Not in RBS — needs menu assignment
53,Accounting,New Fixed Asset,N/A,Operation Mgmt.,Finance & Accounting,N/A,accounting.fixed-asset.index,Modules/Accounting/resources/views/fixed-asset/create.blade.php,Not in RBS — needs menu assignment
